"FILM_ID";"FILM_NAME";"PROD_YEAR";"MADEIN";"STUDIA";"STARTDATE";"AGE_RESTR";"GENRE";"MDIRECTOR"
"111000116";"Статус: ""Свободен""";"2015";"Россия";;"2016-01-21 00:00:00";16;"комедия, мелодрама";"П.Руминов"
"111000416";"Герой (2015)";"2015";"Россия";;"2016-03-31 00:00:00";12;"военный, драма";"Ю.Васильев"
"111000816";"Ставка на любовь";"2015";"Россия";;"2016-02-11 00:00:00";12;"комедия, мелодрама";"А.Михалков"
"111000915";"Горе от ума.";"1952";"СССР";;;;;"С.Алексеев, В.Войтецкий"
"111001115";"ОХРАНА";"2015";"Россия";;"2016-03-31 00:00:00";16;"драма, комедия";"А.Прошкин"
"111001116";"8 лучших свиданий";"2016";"Россия";;"2016-03-03 00:00:00";12;"комедия, мелодрама";"М.Бальчюнас"
"111004516";"Пятница (2016)";"2016";"Россия";;"2016-02-25 00:00:00";16;"комедия";"Е.Шелякин"
"111004716";"Супербобровы";"2015";"Россия";;"2016-03-17 00:00:00";12;"комедия, фантастика";"Д.Дьяченко"
"111004916";"Помню - не помню!";"2016";"Россия";;"2016-03-31 00:00:00";12;"комедия";"В.Ровенский"
"111005016";"Маршрут построен";"2016";"Россия";;"2016-03-31 00:00:00";16;"триллер, ужасы";"О.Асадулин"
"111005116";"Контрибуция (короткая версия)";"2015";"Россия";;"2016-03-17 00:00:00";12;"детектив, исторический";"С.Снежкин"
"111006116";"Хардкор";"2015";"Россия";;"2016-04-07 00:00:00";18;"боевик, фантастика";"И.Найтшуллер"
"111008415";"No comment (Нет комментариев)";"2014";"Россия";;"2015-12-17 00:00:00";16;"драма";"А.Темников"
"111009415";"Райские кущи";"2015";"Россия";;"2015-11-26 00:00:00";;;"А.Аравин, А.Прошкин"
"111009715";"Зеленая Карета";"2015";"Россия";;"2015-11-26 00:00:00";;;"С.Комаров, О.Асадулин"
"111010015";"Синдром Петрушки";"2015";"Россия";;"2015-11-05 00:00:00";16;"драма";"Е.Хазанова"
"111010215";"Тряпичный союз";"2014";"Россия";;"2016-03-03 00:00:00";18;"драма, комедия";"М.Местецкий"
"111010315";"Без границ";"2015";"Россия";;"2015-10-22 00:00:00";;;"Р.Гигинеишвили, К.Оганисян, Р.Прыгунов"
"111010510";"Вишневый сад.";"1993";"Россия";;;;;"А.Чернакова"
"111010515";"Пингвин нашего времени";"2015";"Россия, Германия";;"2015-11-19 00:00:00";;;"Штефан Кромер"
"111010715";"Милый Ханс, дорогой Петр";"2015";"Россия, Германия, Великобритания";;"2016-03-10 00:00:00";18;"драма";"А.Миндадзе"
"111011115";"Переводчик.";"2015";"Россия";;"2015-11-12 00:00:00";;;"А.Нужный"
