"HALL_ID";"THEATRE_ID";"HALL_NAME";"PLACES";"EXP_3D";"EXP_IMAX";"EXP_LASER";"EXP_DVD"
310;207;"Зал 1";340;"1";"0";"0";"0"
311;207;"Зал 2";115;"1";"0";"0";"0"
312;207;"Зал 3 VIP";34;"1";"0";"0";"0"
313;207;"Зал 4";240;"1";"0";"0";"0"
314;207;"Зал 5";122;"1";"0";"0";"0"
315;207;"Зал 6";122;"1";"0";"0";"0"
316;207;"Зал 7";114;"1";"0";"0";"0"
317;207;"Зал 8";97;"1";"0";"0";"0"
318;208;"Зал 1 Альфа";226;"1";"0";"0";"0"
319;208;"Зал 2 Бетта";140;"1";"0";"0";"0"
320;208;"Зал 3 Гамма";113;"1";"0";"0";"0"
321;208;"Зал 4 Дельта";77;"1";"0";"0";"0"
327;210;"Зал 1";252;"1";"0";"0";"0"
328;210;"Зал 2";252;"1";"0";"0";"0"
329;210;"Зал 3";153;"1";"0";"0";"0"
330;210;"Зал 4";265;"1";"0";"0";"0"
331;210;"Зал 5";265;"1";"0";"0";"0"
332;210;"Зал 6";169;"1";"0";"0";"0"
333;210;"Зал 7";224;"1";"0";"0";"0"
334;210;"Зал 8";297;"1";"0";"0";"0"
335;211;"БУРГЕР КИНГ";208;"1";"0";"0";"0"
336;211;"Зал 2";208;"1";"0";"0";"0"
337;211;"Зал 3";96;"1";"0";"0";"0"
338;211;"Зал 4";96;"1";"0";"0";"0"
339;211;"Зал 5";125;"1";"0";"0";"0"
340;211;"Зал 6";128;"1";"0";"0";"0"
341;211;"Зал 7";208;"1";"0";"0";"0"
342;211;"Зал 8";208;"1";"0";"0";"0"
343;211;"VIP";30;"1";"0";"0";"0"
344;212;"Зал 1";249;"1";"0";"0";"0"
345;212;"Зал 2";168;"1";"0";"0";"0"
346;212;"Зал 3";168;"1";"0";"0";"0"
347;213;"X";116;"1";"0";"0";"0"
348;213;"L";117;"1";"0";"0";"0"
349;213;"XL";117;"1";"0";"0";"0"
350;213;"VIP";39;"1";"0";"0";"0"
353;215;"Зал 1";92;"1";"0";"0";"0"
362;218;"Зал №1";135;"1";"0";"0";"0"
363;218;"""LUXE""";553;"1";"0";"0";"0"
364;219;"Зал №1";273;"1";"0";"0";"0"
365;219;"Зал №2";133;"1";"0";"0";"0"
366;219;"Зал №3";108;"1";"0";"0";"0"
367;219;"Зал №4";94;"1";"0";"0";"0"
368;219;"Зал №5";107;"1";"0";"0";"0"
369;219;"Зал №6";160;"1";"0";"0";"0"
370;219;"Зал №7";159;"1";"0";"0";"0"
371;219;"Зал №8 Малый";65;"1";"0";"0";"0"
372;219;"Зал №9 VIP";25;"1";"0";"0";"0"
375;221;"Зал №1";302;"1";"0";"0";"0"
376;221;"Зал №2";304;"1";"0";"0";"0"
377;221;"Зал №3";300;"1";"0";"0";"0"
378;221;"Зал №4";124;"1";"0";"0";"0"
379;221;"Зал №5";123;"1";"0";"0";"0"
1423;1232;"№1";312;"1";"0";"0";"0"
1424;1232;"№2";345;"1";"0";"0";"0"
1425;1232;"№3";194;"1";"0";"0";"0"
1426;1232;"№4";259;"1";"0";"0";"0"
1535;1316;"1";120;"1";"0";"0";"0"
1536;1316;"2";120;"1";"0";"0";"0"
1537;1316;"3";120;"1";"0";"0";"0"
1538;1316;"4";120;"1";"0";"0";"0"
1539;1317;"1";174;"1";"0";"0";"0"
1540;1317;"2";174;"1";"0";"0";"0"
1541;1317;"3";174;"1";"0";"0";"0"
1542;1317;"4";174;"1";"0";"0";"0"
1543;1317;"5";174;"1";"0";"0";"0"
1544;1317;"6";174;"1";"0";"0";"0"
1545;1318;"1";100;"1";"0";"0";"0"
1546;1318;"2";100;"1";"0";"0";"0"
1547;1318;"3";100;"1";"0";"0";"0"
1548;1318;"4";100;"1";"0";"0";"0"
1549;1319;"1";110;"0";"0";"0";"0"
1550;1319;"2";117;"0";"0";"0";"0"
1551;1319;"3";99;"0";"0";"0";"0"
1552;1319;"4";156;"0";"0";"0";"0"
1553;1319;"5";117;"0";"0";"0";"0"
1554;1319;"6";99;"0";"0";"0";"0"
1561;1321;"1";165;"1";"0";"0";"0"
1562;1321;"2";154;"1";"0";"0";"0"
1568;1322;"1";149;"1";"0";"0";"0"
1569;1322;"2";119;"1";"0";"0";"0"
1570;1322;"3";119;"1";"0";"0";"0"
1571;1322;"4";141;"1";"0";"0";"0"
1810;1487;"1";144;"0";"0";"0";"0"
1932;1319;"VIP";27;"0";"0";"0";"0"
1961;1578;"Зал №1";212;"1";"0";"0";"0"
1962;1578;"Зал №2";194;"1";"0";"0";"0"
1963;1578;"Зал №3";48;"1";"0";"0";"0"
1964;1578;"Зал №4";302;"1";"0";"0";"0"
1965;1578;"Зал №5";221;"1";"0";"0";"0"
1966;1578;"Зал №6";249;"1";"0";"0";"0"
1967;1578;"Зал №7 (VIP)";34;"1";"0";"0";"0"
1968;1578;"Зал №8";219;"1";"0";"0";"0"
1969;1578;"Зал №9";289;"1";"0";"0";"0"
1973;1580;"Зал 1";152;"0";"0";"0";"0"
1974;1580;"Зал 2";130;"0";"0";"0";"0"
1975;1580;"Зал 3";132;"0";"0";"0";"0"
1976;1580;"Зал 4";152;"0";"0";"0";"0"
1977;1580;"Зал 5";116;"0";"0";"0";"0"
1978;1580;"Зал 6";130;"0";"0";"0";"0"
1984;1583;"Зал 1";132;"0";"0";"0";"0"
1985;1583;"Зал 2";177;"0";"0";"0";"0"
1986;1583;"Зал 3";147;"0";"0";"0";"0"
1987;1583;"Зал 4";100;"0";"0";"0";"0"
1988;1584;"ЗАЛ №1";1518;"1";"0";"0";"0"
1989;1584;"ЗАЛ №2";313;"1";"1";"0";"0"
1990;1584;"ЗАЛ №3(VIP)";40;"1";"0";"0";"0"
1991;1584;"ЗАЛ №4";234;"1";"0";"0";"0"
1992;1584;"ЗАЛ №5";234;"1";"0";"0";"0"
1993;1584;"ЗАЛ №6";186;"1";"0";"0";"0"
1994;1584;"ЗАЛ №7";270;"1";"0";"0";"0"
1995;1584;"ЗАЛ №8";180;"1";"0";"0";"0"
1996;1584;"ЗАЛ №9";186;"1";"0";"0";"0"
1997;1584;"ЗАЛ №10";49;"1";"0";"0";"0"
1998;1584;"ЗАЛ №11";49;"1";"0";"0";"0"
1999;1585;"Зал 1";126;"1";"0";"0";"0"
2000;1585;"Зал 2";120;"1";"0";"0";"0"
2001;1585;"Зал 3";134;"1";"0";"0";"0"
2002;1585;"Зал 4";120;"1";"0";"0";"0"
2003;1585;"Зал 5";120;"1";"0";"0";"0"
2004;1585;"Зал 6";120;"1";"0";"0";"0"
2005;1585;"Зал 7";120;"1";"0";"0";"0"
2006;1585;"Зал 8 (VIP)";18;"1";"0";"0";"0"
2007;1586;"Зал№1";80;"1";"0";"0";"0"
2008;1586;"Зал№2";159;"1";"0";"0";"0"
2009;1586;"Зал№3";159;"1";"0";"0";"0"
2010;1586;"Зал№4";159;"1";"0";"0";"0"
2020;1589;"Зал 1";158;"0";"0";"0";"0"
2021;1589;"Зал 2";106;"0";"0";"0";"0"
2022;1589;"Зал 3";145;"0";"0";"0";"0"
2023;1589;"Зал 4";119;"0";"0";"0";"0"
2024;1590;"Зал №1";41;"1";"0";"0";"0"
2025;1590;"Зал №2";130;"1";"0";"0";"0"
2026;1590;"Зал №3";115;"1";"0";"0";"0"
2027;1590;"Зал №4";120;"1";"0";"0";"0"
2028;1590;"Зал №5";315;"1";"0";"0";"0"
2029;1590;"Зал №6";115;"1";"0";"0";"0"
2030;1590;"Зал №7";118;"1";"0";"0";"0"
2031;1591;"ЗАЛ №1";166;"1";"0";"0";"0"
2032;1591;"ЗАЛ №2";166;"1";"0";"0";"0"
2033;1591;"ЗАЛ №3";164;"1";"0";"0";"0"
2034;1591;"ЗАЛ №4";164;"1";"0";"0";"0"
2035;1591;"ЗАЛ №5";138;"1";"0";"0";"0"
2036;1591;"ЗАЛ №6";107;"1";"0";"0";"0"
2057;1598;"ЗАЛ 1";98;"1";"0";"0";"0"
2058;1598;"ЗАЛ 2";100;"1";"0";"0";"0"
2059;1598;"ЗАЛ 3";100;"1";"0";"0";"0"
2060;1598;"ЗАЛ 4";161;"1";"0";"0";"0"
2061;1598;"ЗАЛ 5";161;"1";"0";"0";"0"
2062;1598;"ЗАЛ 6";100;"1";"0";"0";"0"
2063;1598;"ЗАЛ 7";100;"1";"0";"0";"0"
2064;1598;"ЗАЛ 8";100;"1";"0";"0";"0"
2065;1599;"Зал 1";83;"0";"0";"0";"0"
2066;1599;"Зал 2";158;"0";"0";"0";"0"
