"THEATRE_ID";"THEATRE_NAME";"ORGTYPE";"HOLDING_ID";"REGION";"CITY"
5614;"VEGAS 22 в ТРЦ ВЕГАС";"p";1577;"Москва г";"Москва г"
213;"«Киномакс-XL» г. Москва";"p";70;"Москва г";"Москва г"
2153;"«Киномакс-Альтаир» г. Ярославль";"p";70;"Ярославская обл";"Ярославль г"
5548;"«Киномакс-Аура» г. Ярославль";"p";70;"Ярославская обл";"Ярославль г"
5736;"«Киномакс-Водный» г. Москва";"p";70;"Москва г";"Москва г"
6100;"«Киномакс-Мозаика» г. Москва";"p";70;"Москва г";"Москва г"
6101;"«Киномакс-Пражская» г. Москва";"p";70;"Москва г";"Москва г"
2272;"«Киномакс-Родник» г. Челябинск";"p";70;"Челябинская обл";"Челябинск г"
208;"«Киномакс-Солярис» г. Москва";"p";70;"Москва г";"Москва г"
211;"«Киномакс-Тандем» г. Казань";"p";70;"Татарстан Респ";"Казань г"
218;"«Киномакс-Урал» г. Челябинск";"p";70;"Челябинская обл";"Челябинск г"
2155;"«Киномакс-Южный» г. Казань";"p";70;"Татарстан Респ";"Казань г"
2271;"«Киномакс» г. Астрахань";"p";70;"Астраханская обл";"Астрахань г"
215;"«Киномакс» г. Владимир";"p";70;"Владимирская обл";"Владимир г"
212;"«Киномакс» г. Волгоград";"p";70;"Волгоградская обл";"Волгоград г"
2544;"«Киномакс» г. Волжский";"p";70;"Волгоградская обл";"Волжский г"
219;"«Киномакс» г. Екатеринбург";"p";70;"Свердловская обл";"Екатеринбург г"
2152;"«Киномакс» г. Ижевск";"p";70;"Удмуртская Респ";"Ижевск г"
2151;"«Киномакс» г. Киров";"p";70;"Кировская обл";"Киров г"
210;"«Киномакс» г. Краснодар";"p";70;"Краснодарский край";"Краснодар г"
1232;"«Киномакс» г. Красноярск";"p";70;"Красноярский край";"Красноярск г"
221;"«Киномакс» г. Пермь";"p";70;"Пермский край";"Пермь г"
207;"«Киномакс» г. Ростов-на-Дону";"p";70;"Ростовская обл";"Ростов-на-Дону г"
2330;"«Киномакс» г. Рязань";"p";70;"Рязанская обл";"Рязань г"
5626;"«Киномакс» г. Самара";"p";70;"Самарская обл";"Самара г"
5482;"«Киномакс» г. Тюмень";"p";70;"Тюменская обл";"Тюмень г"
5448;"«Киномакс» г. Уфа";"p";70;"Башкортостан Респ";"Уфа г"
7267;"КАРО 11 Охта";"p";1577;"Санкт-Петербург г";"Санкт-Петербург г"
7289;"КАРО 13 Кунцево";"p";1577;"Московская обл";"Немчиновка с"
1827;"КАРО ФИЛЬМ Алтуфьево";"p";1577;"Москва г";"Москва г"
1584;"КАРО ФИЛЬМ Октябрь";"p";1577;"Москва г";"Москва г"
2630;"КАРО ФИЛЬМ Радуга Парк";"p";1577;"Свердловская обл";"Екатеринбург г"
2749;"КАРО ФИЛЬМ Сургут";"p";1577;"Ханты-Мансийский Автономный округ - Югра АО";"Сургут г"
1607;"КАРО ФИЛЬМ Теплый Стан";"p";1577;"Москва г";"Москва г"
2361;"КАРО ФИЛЬМ Южное Бутово";"p";1577;"Москва г";"Москва г"
1601;"КАРО ФИЛЬМ в ТРК Атмосфера";"p";1577;"Санкт-Петербург г";"Санкт-Петербург г"
